"","Plspp","short","medium","long","rhizo","norhizo","unknown"
"1","10DIS",NA,1,NA,NA,NA,1
"2","10DIS",NA,8,NA,8,NA,NA
"3","10DIS",NA,NA,NA,NA,NA,1
"4","10HUM",NA,10,NA,10,NA,NA
"5","10HUM",3,NA,NA,NA,NA,3
"6","10HUM",3,NA,NA,NA,3,NA
"7","10HUM",NA,NA,NA,NA,NA,6
"8","10PET",NA,4,NA,4,NA,NA
"9","10PET",NA,NA,NA,NA,NA,18
"10","18DIS",NA,6,NA,NA,NA,6
"11","18DIS",NA,1,NA,1,NA,NA
"12","18DIS",NA,NA,NA,NA,NA,20
"13","18PED",1,NA,NA,NA,NA,1
"14","18PED",NA,NA,NA,NA,NA,26
"15","18PET",NA,2,NA,NA,NA,2
"16","18PET",NA,NA,NA,NA,NA,20
"17","19CAN",NA,NA,NA,NA,NA,23
"18","19PED",1,NA,NA,NA,1,NA
"19","19PED",NA,NA,NA,NA,NA,26
"20","19PET",NA,NA,NA,NA,NA,30
"21","26BEB",NA,2,NA,NA,NA,2
"22","26BEB",5,NA,NA,NA,NA,5
"23","26BEB",4,NA,NA,NA,4,NA
"24","26BEB",NA,NA,NA,NA,NA,17
"25","26BEB",NA,NA,NA,NA,2,2
"26","26DIS",NA,NA,NA,NA,NA,24
"27","26PET",NA,NA,NA,NA,NA,29
"28","34CAN",NA,1,NA,1,NA,NA
"29","34CAN",3,NA,NA,NA,3,NA
"30","34CAN",NA,NA,NA,NA,NA,27
"31","34PET",1,NA,NA,NA,NA,1
"32","34PET",NA,NA,NA,NA,NA,25
"33","34SER",NA,NA,NA,NA,NA,16
"34","40BEB",NA,1,NA,NA,NA,1
"35","40BEB",NA,NA,NA,NA,NA,16
"36","40DIS",NA,2,NA,NA,NA,2
"37","40DIS",8,NA,NA,NA,8,NA
"38","40DIS",NA,NA,NA,NA,NA,8
"39","40PET",NA,1,NA,NA,NA,1
"40","40PET",6,NA,NA,NA,NA,6
"41","40PET",NA,NA,NA,NA,NA,7
"42","49DIS",NA,4,NA,NA,NA,4
"43","49DIS",NA,NA,NA,NA,NA,18
"44","49PED",NA,1,NA,NA,NA,1
"45","49PED",2,NA,NA,NA,NA,2
"46","49PED",2,NA,NA,NA,2,NA
"47","49PED",NA,NA,NA,NA,NA,24
"48","49PET",NA,NA,NA,NA,NA,30
"49","49PET",NA,NA,NA,2,NA,2
"50","68CAN",NA,NA,NA,NA,NA,15
"51","68PET",1,NA,NA,NA,NA,1
"52","68PET",NA,NA,NA,NA,NA,15
"53","68SER",NA,NA,NA,NA,NA,8
"54","89BEB",NA,8,NA,NA,NA,8
"55","89BEB",NA,NA,NA,NA,NA,12
"56","89DIS",NA,3,NA,NA,NA,3
"57","89DIS",1,NA,NA,NA,NA,1
"58","89DIS",1,NA,NA,NA,1,NA
"59","89DIS",NA,NA,NA,NA,NA,14
"60","89DIS",NA,NA,NA,NA,3,3
"61","89PET",NA,6,NA,NA,NA,6
"62","89PET",NA,NA,NA,NA,NA,2
"63","92BEB",1,NA,NA,NA,NA,1
"64","92BEB",5,NA,NA,NA,5,NA
"65","92BEB",NA,NA,NA,NA,NA,5
"66","92DIS",NA,NA,NA,NA,NA,6
"67","AS1BEB",NA,NA,NA,NA,NA,13
"68","AS1HUM",NA,1,NA,NA,NA,1
"69","AS1HUM",NA,1,NA,1,NA,NA
"70","AS1HUM",9,NA,NA,NA,9,NA
"71","AS1HUM",NA,NA,NA,NA,NA,10
"72","AS1PET",NA,NA,NA,NA,NA,9
"73","AS3BEB",NA,1,NA,NA,NA,1
"74","AS3BEB",NA,NA,NA,NA,NA,1
"75","AS3BEB",NA,NA,NA,3,NA,3
"76","AS3HUM",NA,1,NA,NA,1,NA
"77","AS3HUM",1,NA,NA,NA,NA,1
"78","AS3HUM",NA,NA,NA,NA,NA,13
"79","AS3HUM",NA,NA,NA,NA,1,1
"80","AS3PET",3,NA,NA,NA,NA,3
"81","AS3PET",2,NA,NA,NA,2,NA
"82","AS3PET",NA,NA,NA,NA,NA,18
"83","AS3PET",NA,NA,NA,3,NA,3
